,id,course_specific_id,gender,year_of_birth,level_of_education,Objectif_Atteint,Compet_acquises,Heures_Travail_Passees,Satis_Videos,Satis_Supports_Ecrits,Satis_Quizz,Satis_TD,Satis_TP,Satis_Exam,Satis_Temoignages_Pros,Satis_Forums,Satis_Ex_S0,Satis_Rythme,Recommand,Inscri_Proch_Sess,country,enrollment_time,certificate,unenroll
132,b8fd8b5f4b9cb2996c4f4ef2dfdc386c3627ba2b1aca07616256656642d62c89,3da18f633ae69fdebdff95b4bedba6bf,f,1994,b,Oui,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",2h a 4h,4,4,3,4,3,1,5,3,5,2,Oui,Oui,Tunisia,2015-09-22 20:05:11,True,True
133,70fba7ea3203a6d3543068cabdd10c4efe93194a9719be8213002c8c9cef3e5e,14e8f44deaa658161567af618a617e23,f,1994,jhs,Partiellement,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",5h a 8h,4,4,3,4,3,3,3,4,1,3,Oui,Oui,Tunisia,2015-09-22 22:31:31,True,True
134,1a5daa0385e56ffb09c6f27f617334c54481b94348161aff1ce729bd510f6266,e81dcaa73c152357a50b4a9148c93e21,m,1985,b,Oui,"Connaitre l'internet IP, TCP et UDP et leurs propretes",5h a 8h,4,3,4,4,5,4,2,3,2,5,Oui,Non,France,2015-09-23 06:53:58,True,True
135,f07833fbc844c83387a505db11539fc55b11a53e5beecd633f133b93c6cb2fd4,2c65e788e47e860dd360095b70607548,f,1994,jhs,Partiellement,Savoir analyser les proprietes d'un service et en deduire les besoins en termes de reseau,5h a 8h,3,5,4,4,4,2,4,2,5,4,Oui,Oui,Tunisia,2015-09-23 10:25:56,True,True
136,392090403083af1ce0e95a21f0fc102095f8458c74b9f0906d4d9efa687b6135,6dcee4513039f2449fba13ccfe0af1c3,,None,,Partiellement,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",2h a 4h,4,4,4,4,4,4,3,4,3,4,Oui,Non,France,2015-09-23 11:09:59,True,True
137,e5f62757866fcfea5fa4fb76455cd0561d10cd6dc32faf2cf0d4dd24761f536f,7353607c6def4e7a452a28c9201cdf5f,f,1994,m,Partiellement,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",Plus de 8h,3,3,3,4,4,3,3,4,5,3,Oui,Non,Tunisia,2015-09-24 20:15:18,True,True
138,b423c36f83fcae3309bfc4e4e77522c47d6ebf60d10c21842ca4c6ee7840c5b0,2d8de835db3a1b4aa28c50ecc25aad5f,m,1994,jhs,Partiellement,"Connaitre l'internet IP, TCP et UDP et leurs propretes",2h a 4h,4,4,3,3,3,Vide,4,4,3,4,Oui,Non,Tunisia,2015-09-24 22:35:34,True,True
139,067c9ab45fcecaf0b76ca6189786941483e8910ba3554ec65eba9328f94c3196,f319da44a51e372f008b97c85c73b5dc,m,1994,other,Partiellement,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",2h a 4h,2,4,3,4,4,4,4,5,4,4,Oui,Non,Tunisia,2015-09-27 16:37:58,True,True
140,5efed263aee220cdb28cd0d7e815f2e828785b8f5e56e00367a02f11ed020e00,fc4cbbef761cbbf9b6ec50e5731189d7,m,1979,p,Oui,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",Plus de 8h,5,2,3,2,4,2,4,3,4,4,Oui,Non,France,2015-10-11 22:24:20,True,True
141,8d27c6e05b407abfa143ddb5e9f47e329c822690c809b857641d797da521ec67,5d1d0cc114b53374e5dfa116451e19a7,m,1994,,Partiellement,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",2h a 4h,4,4,4,4,4,4,4,4,4,4,Oui,Oui,Tunisia,2015-09-29 14:54:38,True,True
142,7d08f58baa5e0a6a42d0165f69a4e57012fd0ddd87c4cd4f8bc3892789612a08,c76c9a911b449cd6ee4b0a3bbd7873f3,m,1995,other,Partiellement,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",2h a 4h,4,4,5,5,2,2,3,2,3,2,Oui,Oui,Tunisia,2015-10-02 23:07:35,True,True
143,b3262da1f7ce8b9eced9c0a91f0e0e8f8a37e848aff66cd66465fd83b4b32590,3254b93f23d2793a22d9dc3b8824b979,m,1994,m,Oui,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",5h a 8h,5,3,4,4,4,3,4,3,4,5,Oui,Oui,Tunisia,2015-10-03 20:39:43,True,True
144,a11aec682236fb8b46c4ee4570b35572e14e6a0bf159178d36766420a645861a,fea6166627a1a74593efd49f9acdb44d,m,1977,hs,Oui,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",Plus de 8h,4,4,4,4,4,4,4,4,4,4,Oui,Non,France,2015-10-05 10:53:05,True,True
145,0708d56b8e82429a3c1fd3037c875037e32212f39809159f69713139039fc69d,cd9eb085ecee79e3cb0a81d1a82cdcaf,m,1977,m,Oui,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",Plus de 8h,4,4,4,4,4,4,4,4,3,4,Oui,Oui,Côte d'Ivoire,2015-10-05 15:58:34,True,True
146,eb3cc2660e42c06a551d6b1d27648f9644afbc8fb1c244fd7eff1a1ff8a81aae,ef032016c7d7984ac8f4266cad878407,f,1994,m,Partiellement,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",5h a 8h,4,4,4,3,4,4,3,4,4,4,Oui,Oui,France,2015-10-13 08:41:41,True,True
147,74e9c1fd17c86f7780bc024eb13df061e2156b89fa398a74c3ae5540989c49ff,287f311884140bcb4973a79bc86f4d37,m,1995,jhs,Oui,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",5h a 8h,3,3,4,4,4,4,4,5,5,4,Oui,Non,France,2015-10-13 10:45:50,True,True
148,efa02706716936fa3392eecefe790dbad7c397e7cc7f8b93759741f1e75af56f,3b453a02580983e21bef76f5f2b43331,f,1994,b,Oui,"Connaitre l'internet IP, TCP et UDP et leurs propretes",Plus de 8h,5,5,5,5,4,3,5,5,5,5,Oui,Oui,France,2015-10-13 14:47:46,True,True
149,8d414a601db50840d3eb37c41cec6c950e70aac68bee0663a351ded8f3f911a9,2e6618e7016c96d7abd56503f8ba76f8,m,1995,b,Oui,"Connaitre l'internet IP, TCP et UDP et leurs propretes",Plus de 8h,5,5,5,5,4,4,4,4,4,4,Oui,Oui,China,2015-10-13 14:47:34,True,True
150,94ce811b48281689a7eff307ecb6d4c0cf4e023c8a21b24b25735b57db5ef9a1,74336d6c520e90dd1a6aa2fea965f868,m,1995,,Partiellement,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",Moins d'1h,4,2,3,3,3,Vide,Vide,1,Vide,3,Oui,Non,France,2015-10-13 15:37:03,True,True
151,5f09bb6b5fd522f995952c53427fe27087d399fe4b1c4b6272cf8f4d87fef90d,20f56a28e6c33785f871ad5f44129c57,,None,,Oui,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",5h a 8h,5,5,3,3,3,4,4,3,4,4,Oui,Non,France,2015-10-13 16:11:08,True,True
152,9208bbe414803f41cc7a11e7aaab492459ea322df6a88d8c967577aafd78cb99,301a5bba9e31a4be1c0bbe793c54ab2f,f,1994,,Oui,"Connaitre l'internet IP, TCP et UDP et leurs propretes",Plus de 8h,5,5,5,4,3,Vide,Vide,Vide,Vide,Vide,Oui,Vide,France,2015-10-14 15:02:39,True,True
153,90e1eed1288369c898793f58b307297a00de0d03d2364488801248f4457c3933,20d32bd1c6da379086260c769f5bb474,,None,,Oui,Savoir utiliser un analyseur de reseau,Moins d'1h,1,3,3,2,3,1,3,3,1,3,Non,Non,France,2015-10-14 16:32:26,True,True
154,af34ae05c32666ef9fbb116254b57ef4df541d6d8f2a4465e6badbc19f5cbe83,aab98f9471b880ea67a8a9cc21cfceff,m,1995,b,Oui,"Connaitre l'internet IP, TCP et UDP et leurs propretes",2h a 4h,4,3,5,4,1,4,4,4,4,4,Non,Non,France,2015-10-14 19:15:27,True,True
155,076c3fbc3e6bd5303634400880dcf350ac3e3b3cea64a30ba08ebe0ff868579f,0e33c6a3e36eedf04cc0edf5d8a0fba7,m,1996,other,Partiellement,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",5h a 8h,3,1,4,4,2,3,3,1,2,4,Oui,Non,France,2015-10-15 08:48:40,True,True
156,6d877a4abc9e3b659bf541dfa3a4df0e930c1266ac402e9c49aa1a4165a5b9be,6ba1954920fb037861ca9bf9d00327e1,m,1984,b,Partiellement,"Connaitre l'internet IP, TCP et UDP et leurs propretes",2h a 4h,3,2,2,2,3,2,2,2,3,2,Oui,Oui,Congo (the Democratic Republic of the),2015-10-15 13:46:25,True,True
157,07b4c5f7ee71d639dcf4dd696d6cbeada78076a0d6b5fc7beb8b2d894cdecb07,53940808503896329a21095671060ce3,m,1993,b,Partiellement,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",Plus de 8h,5,4,4,4,3,4,3,4,3,4,Oui,Non,France,2015-10-16 20:09:37,True,True
158,4fc6757fa9b76f6d18ccabaefea517e006255104ef5b37d96535d96b55cab4ba,304b818ea8cb7f2bc07f85664c2ae48d,m,1995,hs,Oui,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",2h a 4h,4,4,5,5,3,5,3,3,3,5,Oui,Non,France,2015-10-17 11:08:09,True,True
159,b86ebaad02ad5bca186fbb30b4f9abcb5279d2b651c5626d4eb94e7d5480a875,b59bed868e6243e09812c93079e51efe,m,1994,jhs,Partiellement,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",2h a 4h,2,4,1,4,4,Vide,Vide,Vide,Vide,Vide,Non,Non,France,2015-10-17 11:53:54,True,True
